               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024491,            0.015955,                   0,             0.94402,             0.94656,             0.98405,             0.60011,            0.024048,            0.010668,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02412,            0.015725,                   0,             0.94773,             0.96881,             0.98565,             0.67116,            0.020576,            0.010531,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023992,            0.015446,                   0,              0.9461,             0.91221,              0.9813,             0.66079,            0.021549,            0.010878,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022849,            0.015536,                   0,             0.94754,             0.96506,             0.98652,               0.672,            0.021339,            0.010103,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02279,            0.016673,                   0,             0.94101,             0.94275,             0.98336,             0.67672,            0.020673,            0.010495,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.02254,            0.015022,                   0,             0.95851,             0.93511,             0.97358,             0.64166,            0.022874,            0.012317,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.022879,            0.015564,                   0,             0.96477,             0.94066,             0.98257,             0.67237,            0.020266,             0.01014,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022023,            0.015114,                   0,             0.95054,             0.94275,             0.97664,             0.66525,            0.021382,            0.011101,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021732,            0.015619,                   0,             0.93637,             0.89861,             0.96609,              0.6218,             0.02348,            0.014005,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02209,            0.015531,                   0,             0.92436,             0.87023,             0.94743,             0.53615,            0.028929,            0.015327,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.023324,            0.014804,                   0,             0.94357,             0.94656,             0.97349,              0.6575,            0.022057,            0.011069,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.022179,            0.014501,                   0,             0.92716,             0.91603,             0.95865,             0.59499,            0.024709,            0.012483,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.022103,            0.015301,                   0,             0.97162,             0.95038,             0.98401,              0.6292,            0.022863,            0.010591,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.022577,            0.014276,                   0,             0.97396,              0.9542,             0.98553,             0.67231,            0.019512,            0.010444,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.02131,            0.015568,                   0,             0.96348,             0.93893,             0.98414,              0.6629,            0.020953,            0.010415,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020968,            0.015254,                   0,             0.95364,              0.9421,             0.97887,             0.66015,            0.022161,            0.010571,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.021145,            0.015218,                   0,             0.95152,             0.87023,             0.94358,             0.59315,            0.023785,            0.014719,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.021312,            0.014928,                   0,              0.9561,             0.97328,             0.98773,             0.66065,            0.020535,            0.010213,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.021474,            0.015854,                   0,              0.9508,             0.95897,             0.97966,             0.58505,            0.027133,            0.011104,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.019415,            0.014125,                   0,             0.95852,             0.97328,             0.97848,             0.58845,            0.023975,            0.010763,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019676,            0.014074,                   0,             0.95582,             0.96565,             0.97871,             0.65188,            0.020052,            0.010328,                   0,            0.004258,            0.004258,            0.004258
