               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024269,             0.01825,                   0,             0.96495,             0.94656,             0.98409,             0.67501,            0.020278,            0.010261,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023373,            0.016624,                   0,              0.9092,             0.95547,             0.97197,             0.67175,            0.021641,            0.011004,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023882,            0.015964,                   0,             0.95365,             0.94226,             0.98302,              0.6603,            0.020263,            0.010474,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.023636,            0.015824,                   0,             0.95082,             0.95939,             0.98565,             0.66515,             0.02037,            0.010327,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023774,            0.017057,                   0,             0.91369,             0.92929,             0.96729,             0.55608,             0.02522,            0.012037,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024481,            0.016157,                   0,             0.91503,             0.91221,             0.96134,             0.62594,            0.022089,            0.014216,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.024589,            0.015856,                   0,             0.89364,              0.9621,             0.97293,             0.61792,            0.023577,            0.011414,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024954,            0.016812,                   0,             0.93827,             0.95802,             0.98088,              0.6389,            0.022372,            0.010618,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.023658,            0.015612,                   0,             0.96407,             0.89313,             0.97602,             0.59703,            0.023124,            0.011793,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02318,             0.01753,                   0,             0.18891,              0.6374,             0.49998,             0.26961,            0.042015,            0.038978,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.023442,            0.017437,                   0,             0.89744,             0.60115,             0.81536,             0.46388,            0.032826,            0.026176,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.023573,            0.017043,                   0,             0.94689,             0.95269,             0.98568,             0.66911,            0.021425,            0.010861,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023536,            0.017115,                   0,             0.95163,             0.90111,             0.96619,             0.59289,            0.023222,            0.012335,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.022923,            0.016488,                   0,             0.95769,             0.95022,             0.98343,             0.68037,            0.020423,            0.010261,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.02298,            0.015472,                   0,             0.94845,             0.95038,             0.98523,             0.68025,            0.020002,            0.010266,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023248,            0.016801,                   0,             0.93628,             0.95334,             0.98045,               0.654,            0.021403,            0.010664,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.021624,            0.016368,                   0,             0.94388,             0.95802,             0.98735,             0.66935,            0.020725,            0.010311,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.021978,            0.015713,                   0,             0.93648,             0.97328,             0.98602,             0.64118,              0.0219,            0.010262,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.021202,            0.015573,                   0,             0.93765,             0.97578,             0.98486,             0.67359,             0.02034,            0.010163,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.021856,            0.015284,                   0,             0.94631,             0.94191,             0.97905,             0.63173,            0.022688,            0.011074,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022364,            0.015495,                   0,             0.96328,             0.93511,             0.98856,             0.64705,            0.020739,            0.010328,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022617,            0.015289,                   0,             0.97658,              0.9313,             0.98379,             0.68914,            0.019502,            0.010367,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021624,              0.0157,                   0,             0.94955,             0.93389,             0.98313,             0.67779,            0.019854,            0.010655,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021766,            0.015615,                   0,             0.95012,             0.93893,             0.97632,             0.61833,            0.022988,            0.011026,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022105,            0.016145,                   0,             0.95368,             0.94311,             0.98421,               0.633,            0.021816,            0.010611,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021283,            0.016217,                   0,             0.96165,             0.91985,             0.97948,             0.65675,            0.020994,            0.010924,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021274,            0.015252,                   0,             0.95002,             0.92748,             0.98357,              0.6153,            0.022919,            0.011256,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.02194,            0.015392,                   0,             0.96157,             0.95501,             0.98459,             0.61986,            0.022683,            0.010486,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020939,              0.0158,                   0,             0.92272,             0.95038,             0.97617,              0.6318,            0.023212,            0.011164,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020782,            0.015013,                   0,             0.96422,             0.93893,             0.98854,             0.67816,            0.020281,            0.010682,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021005,            0.015201,                   0,             0.96797,             0.95038,             0.98903,             0.68572,            0.019682,              0.0101,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020508,            0.015169,                   0,             0.94996,             0.94197,             0.98116,             0.67883,            0.020417,            0.010737,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020693,            0.014182,                   0,             0.95489,             0.96565,             0.98635,             0.69622,            0.019817,           0.0099794,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020342,            0.015334,                   0,             0.96861,             0.93893,             0.98907,             0.67609,            0.020749,            0.010154,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020696,            0.015507,                   0,             0.93943,             0.92366,             0.98404,             0.67232,            0.019866,            0.010672,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019672,             0.01572,                   0,              0.9578,             0.95302,             0.98583,             0.69719,            0.019815,            0.010078,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019477,            0.014491,                   0,             0.94784,             0.96183,             0.98524,             0.68497,            0.020613,            0.010284,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020468,            0.015458,                   0,             0.95526,             0.95802,              0.9866,             0.66044,            0.021536,            0.010458,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020268,            0.014574,                   0,             0.95354,             0.94005,             0.97888,             0.66734,             0.02113,            0.011025,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019335,            0.014076,                   0,              0.9759,             0.94656,             0.98765,             0.68633,            0.020501,            0.010192,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020329,            0.014578,                   0,               0.963,             0.95802,             0.98743,             0.65929,             0.02132,            0.010349,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020376,             0.01538,                   0,             0.95374,             0.94428,             0.97743,             0.63093,            0.022139,            0.011115,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019783,             0.01533,                   0,             0.93861,             0.93376,             0.98341,             0.67077,            0.020707,            0.011133,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019639,            0.014868,                   0,             0.96866,             0.94372,             0.98646,             0.68215,            0.020369,            0.010152,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020041,            0.014906,                   0,             0.96338,              0.9542,             0.98853,             0.67988,            0.019825,            0.010256,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020339,            0.014618,                   0,             0.95019,             0.95802,             0.98002,             0.64064,            0.022212,            0.010572,                   0,            0.001783,            0.001783,            0.001783
