               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.037984,            0.023582,                   0,             0.79485,             0.69084,             0.73859,             0.30019,            0.057507,            0.023431,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.038799,             0.02495,                   0,             0.81109,             0.81938,             0.85299,             0.37468,             0.04615,            0.021844,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.03655,            0.024157,                   0,             0.87588,              0.7811,             0.88551,             0.39824,            0.046569,             0.02069,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.036142,            0.025529,                   0,             0.77701,             0.70229,             0.79724,             0.40999,            0.042621,            0.031596,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.036356,            0.023784,                   0,             0.91148,             0.92366,             0.95419,             0.50101,            0.036263,            0.016505,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.036453,            0.023535,                   0,             0.43526,             0.64128,             0.41958,             0.17188,            0.045714,            0.034522,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.036285,            0.025133,                   0,              0.9038,             0.87405,             0.93729,             0.52713,            0.040853,            0.019409,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.036794,            0.023546,                   0,               0.898,             0.88168,             0.93985,             0.54409,            0.034473,            0.016201,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.035147,            0.023222,                   0,             0.61307,             0.52613,             0.59772,             0.27652,            0.043675,             0.03227,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.034366,            0.021984,                   0,             0.91477,             0.91221,             0.95723,             0.58135,            0.035164,            0.015016,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.035241,            0.022121,                   0,             0.91782,             0.90076,             0.95907,             0.58892,             0.03178,            0.014187,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.035129,            0.021698,                   0,             0.88662,              0.8855,             0.93558,             0.50479,            0.034462,             0.01684,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.034488,            0.023291,                   0,             0.94442,             0.93511,             0.97278,             0.60739,             0.02945,            0.013367,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.034733,            0.021497,                   0,             0.91059,             0.87405,             0.94412,             0.54124,            0.031557,            0.014956,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.034204,            0.022728,                   0,             0.91643,              0.9313,             0.96219,             0.59978,            0.030995,            0.014365,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.033478,            0.023382,                   0,             0.59709,             0.70611,             0.67288,             0.38251,            0.037423,            0.027394,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032886,            0.021981,                   0,             0.31971,             0.62977,             0.30003,             0.16913,            0.046043,            0.040957,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.033477,            0.021593,                   0,              0.9044,             0.91221,               0.954,             0.58697,            0.031252,            0.014034,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.032912,            0.023482,                   0,             0.77779,             0.83969,             0.85245,             0.46057,            0.034143,              0.0207,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.033492,            0.021038,                   0,             0.87417,             0.79008,             0.88761,             0.46286,            0.034319,            0.018408,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.033132,             0.02168,                   0,             0.35692,             0.52672,             0.37556,              0.1129,            0.054046,            0.048891,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.032164,             0.02118,                   0,             0.90337,             0.95038,             0.96839,             0.55355,            0.030572,             0.01384,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.033623,            0.022631,                   0,             0.38318,              0.5916,             0.36271,             0.19142,            0.041176,            0.027853,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.030551,            0.020687,                   0,             0.90639,             0.88696,             0.94317,               0.578,            0.031406,            0.013997,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.032533,            0.021475,                   0,             0.90754,             0.94656,              0.9633,             0.62428,            0.027488,            0.012953,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.032089,            0.021979,                   0,             0.84401,             0.84674,             0.88963,             0.50403,            0.033537,            0.019506,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.032215,            0.020707,                   0,              0.9416,             0.91985,             0.97047,             0.58189,            0.029521,            0.012821,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.032071,            0.022242,                   0,             0.91068,              0.9339,             0.96112,              0.5999,            0.027514,            0.013344,                   0,            0.003565,            0.003565,            0.003565
